account,type,residence,date_joined,indication_coupon,first_deposit_amount,first_deposit_date,first_transaction_amount,first_transaction_date,balance_amount
1054,type_1,id,2017-02-10,308,7092.1,2017-02-11,0.378536335721597,2017-02-11,-4926.85
1045,type_1,id,2017-02-02,308,,,,,
5493,type_6,ng,2018-09-06,308,9090.91,2018-09-06,,,9090.91
2117,type_1,lk,2018-06-01,308,516.666666666667,2018-06-05,1.02264705882353,2018-06-05,959.92
4647,type_6,za,2018-04-11,115,9090.91,2018-04-11,1.16,2018-04-11,9090.98
2709,type_3,pl,2018-09-30,308,1678.3,2018-10-04,9.09117318435754,2018-10-04,-2809.49
3556,type_6,id,2017-08-06,41,9090.91,2017-08-06,0.569435028248588,2017-08-06,-4722982.78
2563,type_1,in,2018-11-18,308,50.0,2018-11-18,0.351627906976744,2018-11-18,1444.81
4007,type_6,ua,2017-11-29,308,9090.91,2017-11-29,,,-90909.09
5882,type_6,"",2018-11-20,308,9090.91,2018-11-20,,,9090.91
4684,type_6,in,2018-04-18,308,9090.91,2018-04-18,1.08,2018-04-18,9089.58
5253,type_6,co,2018-07-21,308,9090.91,2018-07-21,0.2,2018-07-21,9089.92
4171,type_6,mm,2018-01-04,308,9090.91,2018-01-04,,,9090.91
3722,type_6,id,2017-09-23,196,9090.91,2017-09-23,193.846153846154,2017-09-23,-4913197.97
1958,type_1,kz,2018-04-02,308,,,,,
1023,type_1,ru,2017-01-19,13,660.0,2017-01-19,1.105,2017-01-19,649.95
5793,type_6,mx,2018-10-30,308,9090.91,2018-10-30,,,9090.91
4569,type_6,id,2018-03-27,308,9090.91,2018-03-27,,,9090.91
5981,type_6,id,2018-12-09,308,9090.91,2018-12-09,60.3898076923077,2018-12-09,7616.94
2255,type_1,vn,2018-07-18,308,,,,,
1892,type_1,id,2018-03-12,308,,,,,
3836,type_6,ve,2017-10-22,308,9090.91,2017-10-22,,,-90909.09
3698,type_6,id,2017-09-17,45,9090.91,2017-09-17,1.23340909090909,2017-09-17,-11494233.9
3336,type_6,za,2017-06-07,101,9090.91,2017-06-07,,,-90909.09
2164,type_1,id,2018-06-20,308,101.8,2018-06-21,0.175826086956522,2018-06-21,302.3
4476,type_6,br,2018-03-11,308,9090.91,2018-03-11,0.1,2018-03-11,9090.93
5629,type_6,id,2018-09-28,308,9090.91,2018-09-28,3.21739130434783,2018-09-28,8175.53
1058,type_1,zw,2017-02-14,308,,,,,
2955,type_6,id,2017-02-25,308,9090.91,2017-02-25,0.2,2017-02-25,-599295.61
3732,type_6,br,2017-09-26,308,9090.91,2017-09-26,0.487438548575888,2017-09-28,-2781518.68
3576,type_6,ru,2017-08-09,308,9090.91,2017-08-09,200.0,2017-08-09,-390913.86
1928,type_1,br,2018-03-24,308,250.0,2018-05-13,0.67625,2018-05-13,24392.83
3628,type_6,gb,2017-08-25,308,9090.91,2017-08-25,1.0,2017-08-25,-90909.17
3433,type_6,ax,2017-07-06,308,9090.91,2017-07-06,,,-90909.09
3643,type_6,id,2017-08-30,202,9090.91,2017-08-30,1.05,2017-08-30,-90909.73
2798,type_6,id,2017-01-14,308,9090.91,2017-01-14,1.03,2017-01-14,-192388.63
1992,type_1,id,2018-04-12,308,140.0,2018-04-12,0.936666666666667,2018-04-12,7555.59
3490,type_6,sr,2017-07-20,308,9090.91,2017-07-20,1.07,2017-08-23,-190909.74
4907,type_6,lk,2018-05-28,308,9090.91,2018-05-28,1.12,2018-05-28,9081.18
1854,type_1,br,2018-03-03,295,,,,,
3816,type_6,id,2017-10-17,308,9090.91,2017-10-17,,,-90909.09
3491,type_6,id,2017-07-20,308,9090.91,2017-07-20,2.175,2017-07-20,-90910.11
4981,type_6,ca,2018-06-11,308,9090.91,2018-06-11,,,9090.91
5130,type_6,ph,2018-07-04,308,9090.91,2018-07-04,,,9090.91
1436,type_1,ng,2017-10-27,308,,,,,
2374,type_1,id,2018-09-09,308,,,,,
5480,type_6,it,2018-09-04,308,9090.91,2018-09-04,,,9090.91
3997,type_6,at,2017-11-27,308,9090.91,2017-11-27,,,-90909.09
1034,type_1,ng,2017-01-25,308,490.0,2017-02-03,2.35280487804878,2017-02-03,5813.66
1597,type_1,th,2017-12-11,308,,,,,
3173,type_6,in,2017-04-23,308,9090.91,2017-04-23,1.38021929824561,2017-05-30,-4787849.56
2258,type_1,id,2018-07-18,308,,,,,
4283,type_6,id,2018-01-30,308,9090.91,2018-01-30,,,9090.91
2925,type_6,id,2017-02-18,134,9090.91,2017-02-18,0.406464646464646,2017-02-18,-3284143.28
5356,type_6,ru,2018-08-12,308,9090.91,2018-08-12,1.0,2018-08-12,9069.51
4198,type_6,id,2018-01-11,308,9090.91,2018-01-11,,,9090.91
4761,type_6,"",2018-05-03,308,9090.91,2018-05-03,,,9090.91
2924,type_6,br,2017-02-17,308,9090.91,2017-02-17,1.055,2017-02-17,-90909.6
5290,type_6,ng,2018-07-29,308,9090.91,2018-07-29,143.428571428571,2018-07-29,8477.67
1442,type_1,kz,2017-10-30,37,,,,,
1371,type_1,ru,2017-10-05,141,130.0,2017-10-05,0.218275862068966,2017-10-06,-13.76
4574,type_6,ua,2018-03-27,270,9090.91,2018-03-27,0.933333333333333,2018-03-27,9089.2
4113,type_6,ru,2017-12-22,15,9090.91,2017-12-22,0.102857142857143,2017-12-22,9090.86
3599,type_6,fr,2017-08-15,308,9090.91,2017-08-15,93.0117117117117,2017-08-15,-695461.77
2529,type_1,br,2018-11-03,308,,,,,
4682,type_6,br,2018-04-17,308,9090.91,2018-04-17,2.0,2018-04-17,9089.69
3734,type_6,ng,2017-09-27,308,9090.91,2017-09-27,50.96,2017-09-27,-1091005.3
1495,type_1,ua,2017-11-13,308,,,,,
3153,type_6,ru,2017-04-19,308,9090.91,2017-04-19,30.6358823529412,2017-04-19,-8395518.38
2882,type_6,ng,2017-02-03,308,9090.91,2017-02-03,,,-90909.09
1017,type_1,id,2017-01-15,25,1000.0,2017-01-22,0.822727272727273,2017-01-23,1100.81
4039,type_6,gb,2017-12-08,308,9090.91,2017-12-08,0.210037878787879,2017-12-08,-190973.78
5420,type_6,"",2018-08-26,308,9090.91,2018-08-26,2.0,2018-08-26,9089.69
5999,type_7,jp,2018-04-09,308,100000.0,2018-04-09,4347.82608695652,2018-04-09,100677.27
1091,type_1,id,2017-03-14,166,110.0,2017-03-16,0.100555555555556,2017-03-16,207.78
4794,type_6,"",2018-05-10,308,9090.91,2018-05-10,,,9090.91
4296,type_6,br,2018-02-01,308,9090.91,2018-02-01,,,9090.91
1611,type_1,pl,2017-12-14,308,,,,,
3942,type_6,lk,2017-11-16,308,9090.91,2017-11-16,0.105,2017-11-16,-390910.78
3251,type_6,id,2017-05-11,308,9090.91,2017-05-11,31.298,2017-05-11,-91288.91
4724,type_6,gb,2018-04-25,308,9090.91,2018-04-25,,,9090.91
2083,type_1,id,2018-05-20,308,,,,,
2701,type_3,be,2018-06-27,308,507.14,2018-06-28,32.09875,2018-06-28,1196.16
5243,type_6,id,2018-07-19,308,9090.91,2018-07-19,2.0,2018-07-19,9085.14
2909,type_6,id,2017-02-13,308,9090.91,2017-02-13,2.0,2017-02-15,-2644268.85
5606,type_6,"",2018-09-25,308,9090.91,2018-09-25,2.0,2018-09-25,9089.92
3381,type_6,gb,2017-06-19,308,9090.91,2017-06-19,,,-90909.09
3489,type_6,br,2017-07-19,308,9090.91,2017-07-19,1.9070375,2017-07-19,-591537.2
3159,type_6,id,2017-04-21,308,9090.91,2017-04-21,15.3925,2017-04-22,-290978.75
5755,type_6,ng,2018-10-23,308,9090.91,2018-10-23,1.0526404494382,2018-10-24,7545.5
5679,type_6,nl,2018-10-08,308,9090.91,2018-10-08,2.0,2018-10-09,9082.55
2110,type_1,ng,2018-05-30,308,,,,,
4985,type_6,ng,2018-06-12,308,9090.91,2018-06-12,2.0,2018-06-16,9079.55
4850,type_6,id,2018-05-20,308,9090.91,2018-05-20,,,9090.91
1604,type_1,br,2017-12-13,308,,,,,
5668,type_6,ng,2018-10-05,308,9090.91,2018-10-05,2.0,2018-10-05,9089.69
5605,type_6,pt,2018-09-25,308,9090.91,2018-09-25,2.0,2018-09-25,9089.69
5507,type_6,"",2018-09-08,308,9090.91,2018-09-08,2.0,2018-09-08,9091.2
2750,type_5,dz,2017-04-04,308,,2017-04-04,,,0.0
3972,type_6,it,2017-11-21,308,9090.91,2017-11-21,1.04,2017-11-21,-490911.79
3928,type_6,id,2017-11-13,308,9090.91,2017-11-13,,,-90909.09
5506,type_6,id,2018-09-08,308,9090.91,2018-09-08,,,9090.91
5563,type_6,"",2018-09-19,308,9090.91,2018-09-19,,,9090.91
2849,type_6,id,2017-01-26,308,9090.91,2017-01-26,,,-90909.09
4420,type_6,br,2018-03-02,308,9090.91,2018-03-02,47.0524235294118,2018-03-02,4701.16
4456,type_6,zw,2018-03-07,308,9090.91,2018-03-07,1.08333333333333,2018-03-07,9089.7
1084,type_1,id,2017-03-11,308,100.0,2017-03-14,0.298385093167702,2017-03-14,98.91
1366,type_1,in,2017-09-28,308,285.8,2017-11-16,0.073,2017-11-16,840.25
5448,type_6,"",2018-08-30,308,9090.91,2018-08-30,2.0,2018-08-30,9091.14
2228,type_1,bj,2018-07-11,308,,,,,
4951,type_6,in,2018-06-06,308,9090.91,2018-06-06,63.555,2018-06-06,7761.69
5401,type_6,lk,2018-08-22,308,9090.91,2018-08-22,0.956046511627907,2018-08-22,9076.34
4154,type_6,id,2017-12-31,29,9090.91,2017-12-31,153.490666666667,2017-12-31,4825.68
4436,type_6,br,2018-03-05,308,9090.91,2018-03-05,27.3934482758621,2018-03-05,-18070.53
2720,type_4,gb,2017-05-12,58,,,,,
4953,type_6,id,2018-06-06,308,9090.91,2018-06-06,48.4031707317073,2018-06-06,27078.05
2685,type_3,be,2017-11-19,308,,,,,
5383,type_6,pk,2018-08-19,308,9090.91,2018-08-19,,,9090.91
4101,type_6,id,2017-12-19,308,9090.91,2017-12-19,0.664444444444445,2017-12-19,6472.05
3553,type_6,gb,2017-08-05,308,9090.91,2017-08-05,15.8125,2017-08-05,-90930.12
1489,type_1,bb,2017-11-11,308,,,,,
4211,type_6,id,2018-01-13,308,9090.91,2018-01-13,,,9090.91
1135,type_1,id,2017-04-18,308,1000.0,2017-11-23,4.456,2017-11-23,989.62
5970,type_6,id,2018-12-07,308,9090.91,2018-12-07,0.40995670995671,2018-12-08,6428.68
3241,type_6,id,2017-05-08,308,9090.91,2017-05-08,,,-90909.09
2247,type_1,id,2018-07-17,308,278.0,2018-07-18,0.231538461538462,2018-07-18,275.19
1047,type_1,za,2017-02-06,308,100.0,2017-02-17,0.184266666666667,2017-02-17,145.31
4629,type_6,id,2018-04-08,308,9090.91,2018-04-08,,,9090.91
5527,type_6,id,2018-09-12,308,9090.91,2018-09-12,2.0,2018-09-12,9089.69
2942,type_6,in,2017-02-22,3,9090.91,2017-02-22,0.1075,2017-02-22,-190908.97
4964,type_6,ru,2018-06-07,308,9090.91,2018-06-07,,,9090.91
4073,type_6,id,2017-12-14,132,9090.91,2017-12-14,1.09,2017-12-15,-190909.76
3986,type_6,in,2017-11-25,308,9090.91,2017-11-25,,,-90909.09
2057,type_1,ru,2018-05-07,308,1550.0,2018-05-07,0.244285714285714,2018-05-07,-24550.15
1318,type_1,vn,2017-09-06,219,,,,,
2742,type_4,gb,2018-10-05,308,,,,,
5648,type_6,de,2018-10-01,308,9090.91,2018-10-01,,,9090.91
5857,type_6,ng,2018-11-13,308,9090.91,2018-11-13,65.6923076923077,2018-11-13,8918.99
2712,type_3,hr,2018-10-10,308,,,,,
3232,type_6,br,2017-05-07,308,9090.91,2017-05-07,,,-90909.09
2790,type_6,id,2017-01-11,308,9090.91,2017-01-11,1.23615384615385,2017-01-11,-290913.62
2260,type_1,vn,2018-07-19,308,1000.0,2018-07-23,0.314556213017751,2018-07-23,2838.43
5153,type_6,gh,2018-07-06,308,9090.91,2018-07-06,0.263016157989228,2018-07-06,8013.44
2015,type_1,ch,2018-04-20,308,,,,,
3277,type_6,id,2017-05-22,308,9090.91,2017-05-22,1.09,2017-05-22,-90909.76
1296,type_1,lk,2017-08-28,308,128.8,2017-09-06,0.2,2017-09-11,181.59
5874,type_6,br,2018-11-18,308,9090.91,2018-11-18,274.24,2018-11-18,7753.02
5565,type_6,ng,2018-09-19,308,9090.91,2018-09-19,2.0,2018-09-19,9826.53
3480,type_6,id,2017-07-18,308,9090.91,2017-07-18,,,-90909.09
4092,type_6,ru,2017-12-18,21,9090.91,2017-12-18,1.75444444444444,2017-12-18,9085.1
2012,type_1,id,2018-04-19,308,,,,,
5237,type_6,vn,2018-07-18,308,9090.91,2018-07-18,0.98962962962963,2018-07-18,-4417.37999999999
3529,type_6,in,2017-07-31,308,9090.91,2017-07-31,,,-90909.09
1893,type_1,do,2018-03-12,308,,,,,
3163,type_6,mx,2017-04-22,308,9090.91,2017-04-22,,,-90909.09
1122,type_1,id,2017-04-10,183,212.25,2017-04-20,0.2,2017-04-20,-411.48
1660,type_1,ua,2017-12-28,36,100.0,2018-01-05,0.497150537634409,2018-01-05,2783.59
1640,type_1,br,2017-12-20,308,15335.0,2017-12-21,0.344183266932271,2017-12-21,36046.3
3705,type_6,id,2017-09-19,308,9090.91,2017-09-19,2.0,2017-09-19,-191636.57
2702,type_3,hu,2018-07-06,308,,,,,
4132,type_6,id,2017-12-26,308,9090.91,2017-12-26,0.786666666666667,2018-02-18,9087.94
4457,type_6,ru,2018-03-07,308,9090.91,2018-03-07,0.33,2018-04-16,9090.7
5789,type_6,id,2018-10-30,308,9090.91,2018-10-30,0.631797235023041,2018-11-02,7884.43
1861,type_1,dz,2018-03-04,308,98.32,2018-03-05,0.531153846153846,2018-03-05,196.62
1434,type_1,ru,2017-10-27,119,,,,,
1388,type_1,pk,2017-10-10,308,798.76,2017-10-11,0.3625,2017-10-12,789.66
2093,type_1,id,2018-05-24,308,,,,,
1505,type_1,id,2017-11-15,41,10.865,2018-05-10,0.413333333333333,2018-05-10,21.52
5458,type_6,lt,2018-08-31,308,9090.91,2018-08-31,2.0,2018-08-31,9089.68
3501,type_6,id,2017-07-23,308,9090.91,2017-07-23,0.2,2017-07-23,-1491145.33
2119,type_1,id,2018-06-02,308,,,,,
5895,type_6,id,2018-11-23,308,9090.91,2018-11-23,1.1,2018-11-23,9089.57
2836,type_6,gh,2017-01-24,308,9090.91,2017-01-24,2.703,2017-01-24,-290911.78
5713,type_6,"",2018-10-16,308,9090.91,2018-10-16,2.0,2018-10-16,9083.81
1395,type_1,br,2017-10-13,102,100.0,2017-10-16,,,100.0
2355,type_1,id,2018-08-29,308,4000.0,2018-08-30,80.39,2018-08-30,-11177.81
1081,type_1,id,2017-03-08,29,,,,,
4130,type_6,id,2017-12-25,308,9090.91,2017-12-25,,,9090.91
4231,type_6,gb,2018-01-16,308,9090.91,2018-01-16,1302.8702739726,2018-01-16,-17378.9100000001
1162,type_1,ge,2017-05-13,308,,,,,
4359,type_6,ua,2018-02-16,308,9090.91,2018-02-16,,,9090.91
3142,type_6,ru,2017-04-15,308,9090.91,2017-04-15,245.153333333333,2017-04-15,-91695.67
3887,type_6,co,2017-11-03,78,9090.91,2017-11-03,,,-90909.09
1469,type_1,mm,2017-11-07,308,,,,,
5577,type_6,ve,2018-09-21,308,9090.91,2018-09-21,8.45471698113208,2018-09-21,6132.53000000001
1720,type_1,kg,2018-01-18,308,,,,,
3140,type_6,lt,2017-04-14,308,9090.91,2017-04-14,,,-90909.09
1269,type_1,id,2017-08-20,308,,,,,
4257,type_6,ru,2018-01-25,308,9090.91,2018-01-25,24.2018181818182,2018-01-25,6870.22
5809,type_6,id,2018-11-02,308,9090.91,2018-11-02,2.0,2018-11-02,9091.2
1698,type_1,ci,2018-01-10,308,,,,,
2022,type_1,br,2018-04-21,308,,,,,
1075,type_1,id,2017-03-01,154,150.0,2017-03-07,0.095,2017-03-07,-143.42
3080,type_6,mx,2017-03-30,308,9090.91,2017-03-30,1.35285714285714,2017-03-30,-90912.66
3886,type_6,id,2017-11-03,308,9090.91,2017-11-03,1.004,2017-11-03,-90910.6
5836,type_6,ao,2018-11-09,308,9090.91,2018-11-09,,,9090.91
3868,type_6,id,2017-10-30,308,9090.91,2017-10-30,0.6,2018-01-25,-190910.04
4189,type_6,ru,2018-01-08,290,9090.91,2018-01-08,0.42,2018-01-08,9090.34
2966,type_6,ru,2017-02-27,308,9090.91,2017-02-27,39.1142,2017-02-27,-191771.6
2028,type_1,in,2018-04-23,116,,,,,
3549,type_6,id,2017-08-04,308,9090.91,2017-08-04,,,-90909.09
4608,type_6,bo,2018-04-03,308,9090.91,2018-04-03,0.51,2018-04-03,6982.13
4128,type_6,ng,2017-12-25,308,9090.91,2017-12-25,1.836,2017-12-25,9085.48
5071,type_6,bd,2018-06-26,308,9090.91,2018-06-26,2.0,2018-06-26,9089.69
5173,type_6,"",2018-07-09,308,9090.91,2018-07-09,0.393333333333333,2018-07-09,9084.05
4400,type_6,id,2018-02-26,308,9090.91,2018-02-26,14.3224,2018-03-04,9419.68
5603,type_6,ru,2018-09-25,308,9090.91,2018-09-25,0.2,2018-09-25,9089.68
1305,type_1,id,2017-09-02,222,600.0,2017-09-02,0.400547945205479,2017-09-08,10255.19
5720,type_6,in,2018-10-17,308,9090.91,2018-10-17,,,9090.91
4873,type_6,id,2018-05-24,308,9090.91,2018-05-24,,,9090.91
5688,type_6,id,2018-10-11,308,9090.91,2018-10-11,1.0,2018-10-11,9090.3
2852,type_6,id,2017-01-27,308,9090.91,2017-01-27,2.005,2017-01-27,-90911.54
5650,type_6,lk,2018-10-01,308,9090.91,2018-10-01,15.5,2018-10-01,7777.89
5230,type_6,ph,2018-07-17,308,9090.91,2018-07-17,,,9090.91
1120,type_1,id,2017-04-08,20,108.55,2017-04-08,0.191139240506329,2017-04-08,77.44
4705,type_6,ve,2018-04-21,308,9090.91,2018-04-21,,,9090.91
1421,type_1,ph,2017-10-23,308,,,,,
2770,type_6,id,2017-01-06,308,9090.91,2017-01-06,,,-90909.09
1749,type_1,ua,2018-01-27,308,175.0,2018-01-27,1.06299401197605,2018-01-27,989.88
3851,type_6,gb,2017-10-24,308,9090.91,2017-10-24,20.0,2017-11-06,-490929.29
1035,type_1,id,2017-01-28,308,354.6,2017-01-28,0.99485549132948,2017-01-28,482.070000000001
2635,type_2,es,2017-10-09,308,,,,,
5960,type_6,tw,2018-12-05,308,9090.91,2018-12-05,0.962509441879983,2018-12-05,6026.55
3181,type_6,id,2017-04-24,308,9090.91,2017-04-24,,,-90909.09
3532,type_6,fr,2017-07-31,308,9090.91,2017-07-31,1.31714285714286,2017-07-31,-190918.31
1937,type_1,vn,2018-03-27,308,,,,,
5421,type_6,fr,2018-08-26,308,9090.91,2018-08-26,,,9090.91
4656,type_6,ru,2018-04-12,308,9090.91,2018-04-12,1.07,2018-04-12,9089.59
4313,type_6,id,2018-02-06,308,9090.91,2018-02-06,,,9090.91
5056,type_6,ve,2018-06-24,308,9090.91,2018-06-24,2.0,2018-06-24,9090.53
3331,type_6,pk,2017-06-06,308,9090.91,2017-06-06,,,-90909.09
2596,type_1,ar,2018-11-29,308,,,,,
1114,type_1,id,2017-04-04,308,,,,,
4001,type_6,ng,2017-11-27,308,9090.91,2017-11-27,,,-90909.09
1840,type_1,in,2018-02-27,308,4679.31,2018-03-07,,,-5461.28
2574,type_1,co,2018-11-22,308,,,,,
1486,type_1,ru,2017-11-10,193,11.71,2018-01-25,0.220833333333333,2018-11-20,35.0
4584,type_6,"",2018-03-30,308,9090.91,2018-03-30,11.46,2018-03-30,9083.91
4723,type_6,id,2018-04-25,308,9090.91,2018-04-25,,,9090.91
1258,type_1,pk,2017-08-11,116,,,,,
3414,type_6,id,2017-07-02,25,9090.91,2017-07-02,1997.0,2017-07-20,-4685033.85
5151,type_6,id,2018-07-06,308,9090.91,2018-07-06,0.2,2018-07-06,9089.72
4464,type_6,br,2018-03-08,308,9090.91,2018-03-08,1.13,2018-03-08,9090.22
2506,type_1,br,2018-10-22,308,12.87,2018-11-02,0.19,2018-11-02,12.74
5762,type_6,"",2018-10-24,308,9090.91,2018-10-24,,,9090.91
4348,type_6,id,2018-02-13,308,9090.91,2018-02-13,6.02,2018-02-13,9084.76
4060,type_6,af,2017-12-12,308,9090.91,2017-12-12,,,-90909.09
4422,type_6,id,2018-03-02,308,9090.91,2018-03-02,6.1,2018-03-02,24560.84
1454,type_1,id,2017-11-03,308,,,,,
3063,type_6,id,2017-03-27,308,9090.91,2017-03-27,20.0,2017-03-27,-90960.25
1363,type_1,id,2017-09-26,239,500.0,2017-09-27,1.00428571428571,2017-09-27,494.85
5843,type_6,"",2018-11-10,308,9090.91,2018-11-10,2.0,2018-11-20,9090.3
1845,type_1,ph,2018-03-01,308,,,,,
4962,type_6,ng,2018-06-07,308,9090.91,2018-06-07,,,9090.91
1677,type_1,cm,2018-01-03,287,150.0,2018-01-07,0.161666666666667,2018-01-07,-288.99
4593,type_6,id,2018-04-01,235,9090.91,2018-04-01,,,9090.91
4757,type_6,in,2018-05-03,308,9090.91,2018-05-03,0.133877551020408,2018-05-04,9089.07
5135,type_6,id,2018-07-04,308,9090.91,2018-07-04,,,9090.91
4594,type_6,by,2018-04-01,308,9090.91,2018-04-01,1.03,2018-04-01,9090.37
5023,type_6,br,2018-06-19,308,9090.91,2018-06-19,2.0,2018-06-19,9089.85
1519,type_1,br,2017-11-18,308,50.0,2017-11-18,0.75,2017-12-09,49.52
1254,type_1,ar,2017-08-09,103,,,,,
2215,type_1,id,2018-07-09,308,,,,,
4460,type_6,cu,2018-03-07,308,9090.91,2018-03-07,,,9090.91
1407,type_1,uz,2017-10-17,148,,,,,
2199,type_1,kr,2018-07-03,308,980.0,2018-07-03,0.546206896551724,2018-07-03,-195.69
3311,type_6,ky,2017-05-30,308,9090.91,2017-05-30,1.08,2017-05-30,-190909.63
4996,type_6,dz,2018-06-14,308,9090.91,2018-06-14,,,9090.91
4344,type_6,ng,2018-02-12,308,9090.91,2018-02-12,,,9090.91
4580,type_6,in,2018-03-29,308,9090.91,2018-03-29,1.12,2018-03-29,9091.01
3417,type_6,ua,2017-07-03,308,9090.91,2017-07-03,1.17,2017-07-03,-90913.77
