transaction_date,account,total_buy,total_sell,total_deposits,total_withdrawals,count_contracts,count_deposits,count_withdrawals
2017-10-23,1237,0.14,0.2,210.0,,2,1,0
2017-10-21,1237,2.54,1.33,,,8,0,0
2017-10-18,1237,3.84,3.46,,,23,0,0
2017-10-17,1237,7.36,3.74,,,8,0,0
2017-10-15,1237,21.47,17.41,900.0,,48,2,0
2017-10-10,1237,0.77,0.65,,,10,0,0
2017-10-09,1237,4.22,4.24,,,20,0,0
2017-10-08,1237,3.12,2.71,60.0,,23,1,0
2017-10-07,1237,2.52,2.36,,,20,0,0
2017-10-06,1237,0.99,0.56,60.0,,8,1,0
2017-10-05,1237,9.77,8.38,140.0,,53,2,0
2017-10-04,1237,116.67,104.75,350.0,,179,1,0
2017-10-03,1237,42.11,43.32,590.0,,112,2,0
2017-10-02,1237,26.71,26.53,110.0,,73,1,0
2017-10-01,1237,104.68,98.62,500.0,1061.95,141,2,1
2017-09-30,1237,139.6,137.85,,,294,0,0
2017-09-29,1237,34.3,37.09,360.0,,74,1,0
2017-09-28,1237,1.06,0.99,120.0,,15,1,0
2017-09-27,1237,28.97,27.85,120.0,,39,1,0
2017-09-26,1237,41.15,40.08,,,76,0,0
2017-09-25,1237,12.59,11.01,,,37,0,0
2017-09-24,1237,29.3,25.18,500.0,,90,2,0
2017-09-23,1237,146.66,141.48,,,247,0,0
2017-09-22,1237,112.89,112.15,,1081.61,225,0,1
2017-09-21,1237,54.15,58.95,,,179,0,0
2017-09-20,1237,53.89,55.78,,,163,0,0
2017-09-19,1237,45.03,45.83,,983.28,216,0,1
2017-09-18,1237,54.58,55.71,,,233,0,0
2017-09-17,1237,35.91,37.5,,,215,0,0
2017-09-16,1237,13.39,15.03,520.0,,95,1,0
2017-08-01,1237,17.35,13.6,370.0,,90,3,0
2018-11-22,1806,0.41,0.24,,,4,0,0
2018-11-21,1806,33.15,24.24,900.0,,85,1,0
2018-11-19,1806,33.96,27.59,,,85,0,0
2018-11-17,1806,12.26,12.88,,,13,0,0
2018-11-16,1806,4.82,5.53,,,2,0,0
2018-11-15,1806,4.13,4.98,,,4,0,0
2018-11-14,1806,11.44,12.96,,,23,0,0
2018-11-13,1806,1.81,2.42,188.5,,6,1,0
2018-10-27,1806,16.08,14.06,,,12,0,0
2018-10-26,1806,1.0,0.5,250.0,,1,1,0
2018-10-25,1806,8.04,6.45,160.0,,6,1,0
2018-10-22,1806,,,,,0,0,0
2018-10-21,1806,5.23,,260.0,,1,1,0
2018-10-11,1806,18.01,10.79,,,8,0,0
2018-10-10,1806,70.31,70.43,,,32,0,0
2018-10-09,1806,14.39,15.6,,,4,0,0
2018-10-08,1806,2.31,3.39,460.0,,1,1,0
2018-10-03,1806,12.36,9.28,,,20,0,0
2018-10-02,1806,80.67,83.57,150.0,294.99,117,1,1
2018-10-01,1806,31.36,29.78,150.0,,27,1,0
2018-09-22,1806,71.35,67.88,,,9,0,0
2018-09-21,1806,0.8,1.18,,,1,0,0
2018-09-20,1806,5.83,6.27,,,6,0,0
2018-09-19,1806,8.24,8.45,,,10,0,0
2018-09-18,1806,3.22,3.82,,,8,0,0
2018-09-17,1806,4.22,4.36,150.0,,8,1,0
2018-09-12,1806,4.02,2.01,,,2,0,0
2018-09-11,1806,4.62,5.41,,,5,0,0
2018-09-10,1806,2.21,2.89,50.0,,6,1,0
2018-02-19,1806,15.68,12.69,300.0,,32,1,0
2018-09-14,1727,0.38,0.32,,,3,0,0
2018-01-23,1727,162.01,154.16,,2787.26,153,0,1
2018-01-22,1727,588.2,569.45,1404.96,,557,1,0
2018-01-21,1727,1004.2,982.09,2777.42,,985,2,0
2018-01-20,1727,397.6,409.35,702.77,,386,1,0
2018-09-14,2330,0.47,0.37,10.0,,2,1,0
2018-08-29,2330,1.31,1.2,10.05,,5,1,0
2018-12-06,1346,38.31,34.4,382.97,,98,1,0
2018-12-02,1346,14.99,12.22,273.11,,50,1,0
2018-06-22,1346,4.66,3.87,76.96,,14,1,0
2018-06-10,1346,,,,668.91,0,0,1
2018-06-09,1346,35.69,35.91,,,73,0,0
2018-06-08,1346,12.16,13.75,151.88,,33,1,0
2018-05-31,1346,20.75,20.06,64.56,,44,1,0
2018-05-18,1346,52.57,47.22,524.31,,84,5,0
2018-02-04,1346,9.92,9.47,42.64,,22,1,0
2018-01-22,1346,69.82,67.51,,,104,0,0
2018-01-21,1346,,,216.59,,0,1,0
2017-12-18,1346,38.66,34.9,368.96,,38,2,0
2017-12-15,1346,12.31,10.06,221.46,,15,1,0
2017-11-26,1346,551.42,547.48,,,504,0,0
2017-11-25,1346,206.01,206.8,170.91,,300,1,0
2017-10-31,1346,7.13,6.54,47.18,,20,1,0
2017-10-22,1346,24.24,23.46,82.52,,74,1,0
2017-10-20,1346,1.0,0.72,21.33,,4,1,0
2017-10-19,1346,10.9,10.19,75.79,,31,1,0
2017-10-09,1346,51.45,49.52,,,157,0,0
2017-10-08,1346,78.64,78.54,177.71,,163,2,0
2017-10-05,1346,,,,2495.52,0,0,1
2017-10-04,1346,496.87,504.73,418.98,,715,1,0
2017-10-03,1346,166.39,160.91,514.7,,271,2,0
2017-10-01,1346,43.99,40.55,,,102,0,0
2017-09-30,1346,26.25,28.51,104.82,,67,1,0
2017-09-26,1346,75.57,72.61,280.71,,250,1,0
2017-09-23,1346,168.74,167.89,,,506,0,0
2017-09-22,1346,,,53.45,,0,1,0
2017-09-19,1346,4.88,4.44,42.82,,29,1,0
2018-08-07,2181,2.01,1.0,,,1,0,0
2018-08-06,2181,,,100.0,,0,1,0
2018-06-29,2181,4.02,2.01,,416.91,1,0,1
2018-06-27,2181,4.02,6.14,,,1,0,0
2018-06-26,2181,,,200.0,,0,1,0
2017-12-22,1098,17.68,16.64,100.0,,115,1,0
2017-12-14,1098,40.94,39.39,,,302,0,0
2017-12-13,1098,13.18,13.6,100.0,,72,1,0
2017-12-12,1098,39.5,37.46,100.0,,149,1,0
2017-12-11,1098,61.29,60.18,200.0,,119,2,0
2018-12-08,1123,0.31,0.35,,,2,0,0
2018-12-07,1123,2.4,1.29,,,8,0,0
2018-12-06,1123,0.41,0.5,,,3,0,0
2018-12-05,1123,20.22,15.15,,,63,0,0
2018-12-04,1123,23.2,23.57,,,35,0,0
2018-12-03,1123,1.13,1.35,,,7,0,0
2018-12-01,1123,1.23,1.41,,,7,0,0
2018-11-30,1123,2.76,3.26,,,17,0,0
2018-11-29,1123,1.43,1.61,,,8,0,0
2018-11-28,1123,5.21,5.55,,,19,0,0
2018-11-27,1123,5.68,6.02,,,18,0,0
2018-11-26,1123,0.81,0.99,,,6,0,0
2018-11-24,1123,3.56,3.73,,,11,0,0
2018-11-23,1123,5.13,5.94,,,36,0,0
2018-11-22,1123,0.81,0.99,,,6,0,0
2018-11-21,1123,3.08,3.43,,,20,0,0
2018-11-20,1123,2.91,3.26,,,18,0,0
2018-11-16,1123,3.57,3.88,,,19,0,0
2018-11-15,1123,1.73,1.84,,,9,0,0
2018-11-14,1123,0.07,0.1,,,1,0,0
2018-11-12,1123,0.63,0.69,,,5,0,0
2018-11-09,1123,0.77,0.86,,,5,0,0
2018-11-08,1123,26.29,19.44,,,37,0,0
2018-11-07,1123,0.88,1.07,,,11,0,0
2018-11-06,1123,6.84,7.19,,,22,0,0
2018-10-25,1123,0.77,0.96,,,8,0,0
2018-10-24,1123,1.53,1.62,,,9,0,0
2018-10-23,1123,1.05,1.16,,,8,0,0
2018-10-22,1123,0.21,0.3,,,3,0,0
2018-10-19,1123,1.35,1.44,,,7,0,0
2018-10-18,1123,0.32,0.39,,,4,0,0
2018-10-17,1123,0.59,0.66,,,7,0,0
2018-10-16,1123,0.88,0.97,,,6,0,0
2018-10-13,1123,0.32,0.39,,,4,0,0
2018-10-12,1123,0.07,0.1,,,1,0,0
2018-10-11,1123,0.9,0.94,,,7,0,0
2018-10-10,1123,1.98,2.01,,,8,0,0
2018-10-09,1123,0.07,0.1,,,1,0,0
2018-10-05,1123,0.07,0.1,,,1,0,0
2018-10-04,1123,0.25,0.29,620.0,,3,1,0
2018-10-03,1123,1.64,0.92,,,8,0,0
2018-10-02,1123,1.5,1.55,,,12,0,0
2018-09-27,1123,0.4,0.41,100.0,,2,1,0
2018-09-25,1123,3.24,1.68,,,11,0,0
2018-09-21,1123,3.79,2.4,,,17,0,0
2018-09-20,1123,0.65,0.8,,,9,0,0
2018-09-19,1123,1.29,1.39,,,14,0,0
2018-09-18,1123,1.4,1.53,,,13,0,0
2018-09-17,1123,0.58,0.7,,,8,0,0
2018-09-15,1123,1.17,1.3,,,16,0,0
2018-09-14,1123,2.43,2.57,,,17,0,0
2018-09-13,1123,0.43,0.55,,,6,0,0
2018-09-12,1123,6.36,6.52,,,36,0,0
2018-09-11,1123,0.65,0.8,,,9,0,0
2018-09-10,1123,1.16,1.26,,,11,0,0
2018-09-07,1123,3.78,3.92,,,23,0,0
2018-09-06,1123,0.53,0.56,,,6,0,0
2018-09-05,1123,1.44,1.67,,,15,0,0
2018-09-04,1123,5.38,4.59,,,33,0,0
2018-09-03,1123,2.34,2.45,,,12,0,0
2018-07-25,1123,3.28,2.29,137.0,,13,1,0
2018-07-23,1123,7.13,7.23,,,68,0,0
2018-07-20,1123,22.17,22.44,,,103,0,0
2018-07-19,1123,8.93,9.05,,,85,0,0
2018-07-18,1123,41.37,35.14,,269.22,209,0,1
2018-07-17,1123,2.16,2.42,,,19,0,0
2018-07-16,1123,14.41,14.63,,,17,0,0
2018-07-14,1123,0.36,0.45,,,4,0,0
2018-07-13,1123,0.57,0.69,,,7,0,0
2018-07-12,1123,5.46,5.64,,,30,0,0
2018-07-11,1123,9.85,10.09,,,24,0,0
2018-07-10,1123,9.08,9.31,,,33,0,0
2018-07-09,1123,2.07,2.26,,,27,0,0
2018-07-08,1123,3.11,3.22,,,15,0,0
2018-07-07,1123,6.96,7.13,,,18,0,0
2018-07-06,1123,2.78,3.07,,,22,0,0
2018-07-05,1123,1.01,1.26,,,14,0,0
2018-07-04,1123,7.54,7.74,,,21,0,0
2018-07-03,1123,4.46,4.76,,,31,0,0
2018-07-02,1123,2.76,2.93,,,23,0,0
2018-04-13,1123,8.47,8.66,,,43,0,0
2018-04-11,1123,22.64,24.1,,,146,0,0
2018-04-06,1123,12.71,13.57,,,80,0,0
2018-04-05,1123,110.63,77.86,,,70,0,0
2018-04-04,1123,14.04,15.24,,,79,0,0
2018-04-03,1123,25.84,26.82,,,51,0,0
2018-04-02,1123,40.57,41.71,,,54,0,0
2018-03-29,1123,18.21,19.15,,,50,0,0
2018-03-28,1123,9.69,10.59,,,42,0,0
2018-03-27,1123,11.03,11.88,,,57,0,0
2018-03-26,1123,62.59,63.39,,,169,0,0
2018-03-19,1123,1.81,2.07,,,3,0,0
2018-01-26,1123,,,2516.7,,0,1,0
2018-01-19,1123,11.29,10.74,,,40,0,0
2018-01-10,1123,19.75,21.71,,,94,0,0
2018-01-05,1123,14.89,9.08,,,19,0,0
2018-01-04,1123,19.75,20.55,,,48,0,0
2018-01-03,1123,7.38,8.14,,,25,0,0
2018-01-02,1123,5.12,5.81,,,27,0,0
2018-01-01,1123,40.36,40.31,,,91,0,0
2017-12-29,1123,57.86,37.03,,,73,0,0
2017-12-28,1123,75.66,40.39,,,37,0,0
2017-12-27,1123,22.85,20.35,1260.0,,66,1,0
2017-12-19,1123,,,5000.0,,0,1,0
2017-11-27,1123,1.58,1.53,,,22,0,0
2017-07-10,1123,11.41,9.53,,,42,0,0
2017-07-03,1123,,,184.7,,0,1,0
2017-06-20,1123,1.97,1.79,,,19,0,0
2017-06-19,1123,45.79,35.85,,,139,0,0
2017-06-17,1123,4.2,4.68,,,20,0,0
2017-06-16,1123,29.8,26.11,,,50,0,0
2017-06-15,1123,21.05,23.15,,,90,0,0
2017-06-14,1123,12.49,14.04,,,58,0,0
2017-06-13,1123,27.67,29.68,,,92,0,0
2017-06-12,1123,10.2,11.39,,,50,0,0
2017-06-09,1123,13.66,14.73,192.1,,61,1,0
2017-06-08,1123,7.73,8.37,,,36,0,0
2017-06-07,1123,8.8,9.39,137.0,,40,1,0
2017-06-05,1123,1.34,1.42,,,7,0,0
2017-06-03,1123,0.28,0.35,,,3,0,0
2017-06-02,1123,52.12,45.43,,,173,0,0
2017-06-01,1123,22.3,24.29,,,137,0,0
2017-05-31,1123,,,412.0,,0,1,0
2017-05-29,1123,,,90.0,,0,1,0
2017-05-06,1123,1.48,1.44,,,21,0,0
2017-05-05,1123,33.58,32.52,80.0,,116,1,0
2017-05-02,1123,1.17,0.91,,,7,0,0
2017-04-27,1123,52.91,35.2,,,81,0,0
2017-04-26,1123,395.56,383.2,,,792,0,0
2017-04-25,1123,96.45,100.16,,,250,0,0
2017-04-24,1123,109.53,114.63,,,86,0,0
2017-04-21,1123,44.76,47.22,,,120,0,0
2017-04-20,1123,33.76,36.06,,,58,0,0
2017-04-19,1123,22.53,24.24,,,96,0,0
2017-04-18,1123,159.7,122.35,,,326,0,0
2017-04-17,1123,132.32,138.17,,,398,0,0
2017-04-15,1123,,,,2064.9,0,0,1
2017-04-14,1123,55.13,58.04,,,209,0,0
2017-04-13,1123,161.76,170.61,,,597,0,0
2017-04-12,1123,35.98,38.95,4000.0,,177,1,0
2018-10-03,1452,128.83,121.88,669.56,,110,1,0
2018-07-31,1452,,,803.09,1589.08,0,1,1
2018-05-04,1452,148.8,135.4,1313.08,,101,1,0
2018-01-08,1452,,,1184.08,2784.26,0,1,1
2018-01-05,1452,121.33,120.35,1302.0,2573.39,163,2,3
2018-01-04,1452,0.6,0.3,593.7,598.37,1,1,1
2017-11-29,1452,89.76,87.55,,,127,0,0
2017-11-28,1452,413.76,405.11,964.47,,408,2,0
2017-11-27,1452,128.38,119.87,835.16,,167,1,0
2017-11-25,1452,114.7,105.82,883.99,,133,1,0
2018-11-29,1003,1.39,0.89,50.0,,7,1,0
2018-11-25,1003,23.06,22.41,60.0,,81,1,0
2018-11-13,1003,12.36,11.03,130.0,,61,1,0
2018-11-12,1003,34.37,33.31,100.0,,120,1,0
2018-11-06,1003,1.21,0.6,60.0,,6,1,0
2018-10-29,1003,61.03,60.41,50.0,,256,1,0
2018-10-28,1003,77.17,72.98,504.2,196.66,156,2,1
2018-10-17,1003,26.49,23.73,270.0,,99,1,0
2018-10-16,1003,2.19,1.48,70.0,,10,1,0
2018-10-14,1003,49.15,46.35,270.0,,93,1,0
2018-10-12,1003,63.84,62.61,110.0,,116,1,0
2018-10-09,1003,29.09,28.33,70.0,,132,1,0
2018-10-08,1003,34.56,31.48,300.0,,80,1,0
2018-10-05,1003,11.45,10.92,50.0,,52,1,0
2018-10-03,1003,58.23,51.05,700.0,,108,1,0
2018-10-02,1003,124.2,118.26,,,178,0,0
2018-10-01,1003,285.06,281.35,890.0,,613,2,0
2018-09-30,1003,131.74,127.27,,,437,0,0
2018-09-29,1003,210.02,188.51,,983.28,353,0,1
2018-09-28,1003,276.14,285.62,,491.64,218,0,1
2018-09-27,1003,668.04,626.54,,983.28,508,0,2
2018-09-26,1003,707.83,763.67,,884.96,331,0,2
2018-09-25,1003,10.05,10.86,,491.64,8,0,1
2018-09-24,1003,19.29,25.98,,393.31,29,0,1
2018-09-23,1003,70.67,79.91,300.0,,108,1,0
2018-09-15,1003,13.6,10.08,,196.66,17,0,1
2018-09-14,1003,13.87,17.03,130.0,,13,1,0
2018-09-02,1003,0.07,0.04,,,1,0,0
2018-07-27,1003,28.94,26.91,200.0,,23,1,0
2018-07-19,1003,27.0,25.44,150.0,,18,1,0
2018-07-15,1003,4.8,3.37,140.0,,12,1,0
2018-05-04,1003,4.5,3.25,,,3,0,0
2018-05-03,1003,0.43,0.31,,,1,0,0
2018-05-01,1003,1.47,1.73,110.0,,5,1,0
2018-04-14,1003,0.08,0.04,,,1,0,0
2018-02-20,1003,1.74,1.17,60.0,,6,1,0
2018-01-28,1003,13.12,12.07,100.0,,38,1,0
2017-11-18,1003,11.47,8.16,330.0,,16,1,0
2017-10-27,1003,3.26,2.42,,,9,0,0
2017-10-25,1003,1.16,1.38,60.0,,7,1,0
2017-09-25,1003,15.46,14.64,80.0,,36,1,0
2017-09-24,1003,5.72,4.76,,,37,0,0
2017-09-23,1003,15.78,15.12,50.0,,61,1,0
2017-09-09,1003,,,,,0,0,0
2017-09-08,1003,,,,,0,0,0
2017-09-05,1003,3.18,2.19,,,8,0,0
2017-09-04,1003,15.52,15.07,150.0,,34,1,0
2017-01-21,1003,26.15,25.02,,,102,0,0
2017-01-20,1003,308.49,299.76,300.0,,148,1,0
2017-01-19,1003,140.76,142.42,,,136,0,0
2017-01-18,1003,76.15,78.28,200.0,,104,1,0
2017-01-17,1003,17.81,16.35,140.0,,42,1,0
2017-01-14,1003,14.87,13.95,90.0,,32,1,0
2017-01-06,1003,14.67,13.21,140.0,,60,1,0
2017-01-03,1003,9.45,8.65,,,25,0,0
2017-01-02,1003,6.43,6.03,120.0,,27,1,0
2018-06-26,1063,,,,47.0,0,0,1
2017-04-12,1063,0.4,0.39,,,3,0,0
2017-04-05,1063,1.0,0.97,,,7,0,0
2017-04-04,1063,0.4,0.27,,,1,0,0
2017-04-03,1063,1.61,1.28,,,7,0,0
2017-04-01,1063,0.8,0.65,,,6,0,0
2017-03-31,1063,0.6,0.67,,,6,0,0
2017-03-30,1063,0.1,0.05,,,1,0,0
2017-03-29,1063,0.3,0.32,,,3,0,0
2017-03-28,1063,0.1,0.14,,,1,0,0
2017-03-26,1063,0.1,0.14,,,1,0,0
2017-03-25,1063,0.4,0.57,,,3,0,0
2017-03-24,1063,0.2,0.28,,,1,0,0
2017-03-23,1063,3.63,3.1,,,17,0,0
2017-03-22,1063,2.42,2.61,,,14,0,0
2017-03-21,1063,1.78,1.59,,,13,0,0
2017-03-20,1063,7.64,7.98,,,37,0,0
2017-03-19,1063,6.53,6.74,,,18,0,0
2017-03-18,1063,0.14,0.15,,,1,0,0
2017-03-17,1063,6.11,5.96,,,37,0,0
2017-03-16,1063,2.77,2.6,,,15,0,0
2017-03-15,1063,1.61,1.45,,,18,0,0
2017-03-14,1063,2.73,2.69,,,26,0,0
2017-03-13,1063,5.8,5.39,,,34,0,0
2017-03-10,1063,0.77,0.76,,,8,0,0
2017-03-09,1063,2.04,1.94,,,20,0,0
2017-03-08,1063,1.28,1.25,,,14,0,0
2017-03-07,1063,0.9,0.84,,,9,0,0
2017-03-05,1063,,,150.0,,0,1,0
2018-05-25,1062,,,,4.33,0,0,1
2017-03-10,1062,0.4,0.2,,,1,0,0
2017-03-05,1062,0.2,0.29,,,1,0,0
2017-03-04,1062,0.4,0.31,,,2,0,0
2017-03-03,1062,0.8,0.6,,,4,0,0
2017-03-02,1062,0.8,0.98,,,4,0,0
2017-03-01,1062,0.6,0.69,,,3,0,0
2017-02-26,1062,0.2,0.1,,,1,0,0
2017-02-25,1062,0.2,0.1,,,1,0,0
2017-02-24,1062,0.2,0.1,,,1,0,0
2017-02-23,1062,1.0,1.07,,,5,0,0
2017-02-22,1062,3.82,3.46,,,16,0,0
2017-02-21,1062,23.31,22.53,,,116,0,0
2017-02-20,1062,28.74,28.16,200.0,,143,1,0
2018-11-14,2257,,,,42383.43,0,0,1
2018-09-24,2257,61.04,54.66,,,89,0,0
2018-09-19,2257,14.89,16.81,,,4,0,0
2018-09-18,2257,51.14,47.26,,,10,0,0
2018-09-17,2257,76.16,78.04,,,14,0,0
2018-09-03,2257,75.97,79.38,,,61,0,0
2018-09-01,2257,62.49,66.38,16602.43,,63,1,0
2018-08-30,2257,20.65,20.72,,,11,0,0
2018-08-28,2257,104.15,102.06,,,75,0,0
2018-08-27,2257,19.94,13.84,,,15,0,0
2018-08-26,2257,,,988.77,,0,1,0
2018-08-24,2257,,,4980.96,,0,1,0
2018-07-18,2257,,,1401.26,,0,1,0
2018-07-26,1006,,,,5.13,0,0,1
2017-05-09,1006,9.72,6.85,,,11,0,0
2017-05-08,1006,32.49,22.79,,,40,0,0
2017-05-07,1006,5.15,6.07,,,20,0,0
2017-05-05,1006,16.46,14.21,,,22,0,0
2017-05-04,1006,26.86,26.48,,,27,0,0
2017-05-03,1006,38.64,28.47,,,20,0,0
2017-05-02,1006,56.74,55.37,,,28,0,0
2017-05-01,1006,61.71,61.47,,,37,0,0
2017-04-28,1006,61.54,55.65,,,34,0,0
2017-04-27,1006,36.51,35.68,,,21,0,0
2017-04-26,1006,36.37,46.11,,,15,0,0
2017-04-25,1006,61.77,38.92,,,23,0,0
2017-04-24,1006,45.03,45.27,,,19,0,0
2017-04-22,1006,0.78,0.39,,,1,0,0
2017-04-21,1006,46.2,43.4,,,29,0,0
2017-04-20,1006,101.91,102.17,,,43,0,0
2017-04-19,1006,30.67,25.21,,,13,0,0
2017-04-18,1006,28.36,31.98,,,13,0,0
2017-04-17,1006,26.96,34.01,,,12,0,0
2017-04-14,1006,60.24,41.48,,,66,0,0
2017-04-13,1006,66.9,70.49,,,62,0,0
2017-04-12,1006,52.33,55.11,,,36,0,0
2017-04-11,1006,54.05,56.85,,,36,0,0
2017-04-10,1006,49.87,51.93,,,27,0,0
2017-04-09,1006,6.21,6.86,,,4,0,0
2017-04-07,1006,29.79,26.72,,,46,0,0
2017-04-06,1006,107.66,77.42,,,120,0,0
2017-04-05,1006,197.2,168.6,3783.6,,222,1,0
2017-04-04,1006,469.01,470.66,,,297,0,0
2017-04-03,1006,91.38,61.16,,,20,0,0
2017-04-01,1006,88.38,66.83,,,25,0,0
2017-03-31,1006,71.9,78.01,,,22,0,0
2017-03-30,1006,133.03,145.23,,,49,0,0
2017-03-29,1006,68.31,75.81,,,40,0,0
2017-03-28,1006,50.24,39.78,,,41,0,0
2017-03-27,1006,78.44,87.9,,,60,0,0
2017-03-24,1006,2.45,3.47,,,2,0,0
2017-03-23,1006,11.72,16.6,,,8,0,0
2017-03-22,1006,118.95,101.04,,,36,0,0
2017-03-21,1006,43.31,40.42,,,23,0,0
2017-03-20,1006,4.34,5.92,,,2,0,0
2017-03-17,1006,42.66,45.53,,,18,0,0
2017-03-16,1006,44.75,32.37,,,13,0,0
2017-03-15,1006,12.15,14.6,,,7,0,0
2017-03-14,1006,37.1,38.16,,,20,0,0
2017-03-13,1006,8.49,6.32,,,7,0,0
2017-03-12,1006,52.96,57.16,,,21,0,0
2017-03-11,1006,29.68,33.73,,,14,0,0
2017-03-10,1006,81.34,85.74,,,31,0,0
2017-03-09,1006,61.93,63.01,,,37,0,0
2017-03-08,1006,36.82,42.19,,,41,0,0
2017-03-07,1006,134.66,151.65,,,54,0,0
2017-03-06,1006,108.47,110.81,,,75,0,0
2017-03-05,1006,10.21,11.19,,,10,0,0
2017-03-03,1006,18.87,19.91,,,14,0,0
2017-03-02,1006,78.58,73.29,,,127,0,0
2017-03-01,1006,45.98,46.58,,,42,0,0
2017-02-28,1006,91.01,87.95,,,42,0,0
2017-02-27,1006,46.29,42.83,,,32,0,0
2017-02-24,1006,36.44,37.34,,,29,0,0
2017-02-23,1006,39.46,35.54,,,27,0,0
2017-02-22,1006,52.43,52.19,,,35,0,0
2017-02-21,1006,47.27,60.36,,,43,0,0
2017-02-20,1006,23.12,23.39,3450.78,,16,1,0
2017-02-18,1006,49.01,34.31,1917.1,,17,1,0
2017-02-17,1006,49.0,52.13,,,35,0,0
2017-02-16,1006,39.0,41.9,,,26,0,0
2017-02-15,1006,96.53,87.06,,,96,0,0
2017-02-14,1006,30.96,36.79,,,54,0,0
2017-02-13,1006,77.96,64.63,,,88,0,0
2017-02-12,1006,73.05,84.03,,,86,0,0
2017-02-11,1006,19.39,19.53,,,18,0,0
2017-02-10,1006,45.79,54.92,,,52,0,0
2017-02-09,1006,34.86,32.6,,,24,0,0
2017-02-08,1006,59.0,62.2,,,69,0,0
2017-02-07,1006,7.43,6.73,,,8,0,0
2017-02-06,1006,25.79,23.41,1152.48,,23,1,0
2017-02-02,1006,109.68,58.87,,,72,0,0
2017-02-01,1006,94.46,102.18,,,62,0,0
2017-01-31,1006,23.55,25.02,,,18,0,0
2017-01-30,1006,24.27,28.22,,,16,0,0
2017-01-27,1006,1.51,2.18,,,1,0,0
2017-01-26,1006,41.1,47.76,,,44,0,0
2017-01-25,1006,1.07,1.2,,,7,0,0
2017-01-24,1006,1.07,1.23,,,7,0,0
2017-01-23,1006,0.3,0.29,,,2,0,0
2017-01-20,1006,,,2266.2,,0,1,0
2017-01-06,1006,,,2201.7,,0,1,0
2017-08-27,1213,7.48,6.84,,,9,0,0
2017-08-26,1213,9.45,9.47,,,49,0,0
2017-08-25,1213,18.88,18.33,106.3,,54,1,0
2017-08-07,1213,2.39,1.51,,,10,0,0
2017-08-06,1213,0.21,0.1,100.0,,2,1,0
2018-07-05,1007,0.1,0.14,,,1,0,0
2018-02-08,1007,,,,,0,0,0
2018-02-07,1007,2.41,1.2,,,2,0,0
